time,position,temperature
0.000000,0.427427,76.847229
0.000000,0.428428,77.403614
0.000000,0.429429,77.956216
0.000000,0.430430,78.504897
0.000000,0.431431,79.049519
0.000000,0.432432,79.589945
0.000000,0.433433,80.126036
0.000000,0.434434,80.657657
0.000000,0.435435,81.184669
0.000000,0.436436,81.706939
0.000000,0.437437,82.224329
0.000000,0.438438,82.736705
0.000000,0.439439,83.243933
0.000000,0.440440,83.745879
0.000000,0.441441,84.242411
0.000000,0.442442,84.733396
0.000000,0.443443,85.218704
0.000000,0.444444,85.698205
0.000000,0.445445,86.171769
0.000000,0.446446,86.639269
0.000000,0.447447,87.100578
0.000000,0.448448,87.555569
0.000000,0.449449,88.004120
0.000000,0.450450,88.446106
0.000000,0.451451,88.881406
0.000000,0.452452,89.309899
0.000000,0.453453,89.731467
0.000000,0.454454,90.145993
0.000000,0.455455,90.553359
0.000000,0.456456,90.953454
0.000000,0.457457,91.346163
0.000000,0.458458,91.731376
0.000000,0.459459,92.108984
0.000000,0.460460,92.478880
0.000000,0.461461,92.840959
0.000000,0.462462,93.195117
0.000000,0.463463,93.541254
0.000000,0.464464,93.879269
0.000000,0.465465,94.209066
0.000000,0.466466,94.530550
0.000000,0.467467,94.843627
0.000000,0.468468,95.148207
0.000000,0.469469,95.444202
0.000000,0.470470,95.731526
0.000000,0.471471,96.010094
0.000000,0.472472,96.279825
0.000000,0.473473,96.540641
0.000000,0.474474,96.792465
0.000000,0.475475,97.035222
0.000000,0.476476,97.268842
0.000000,0.477477,97.493256
0.000000,0.478478,97.708397
0.000000,0.479479,97.914202
0.000000,0.480480,98.110609
0.000000,0.481481,98.297561
0.000000,0.482482,98.475002
0.000000,0.483483,98.642880
0.000000,0.484484,98.801143
0.000000,0.485485,98.949746
0.000000,0.486486,99.088644
